package_name,desc,long_desc,Depends,Suggests,Imports,Inviews,Version,License,Enhances
aws,Adaptive Weights Smoothing,"The package contains R-functions implementing the Propagation-Separation Approach to adaptive smoothing as described in J. Polzehl and V. Spokoiny (2006), Propagation-Separation Approach for Local Likelihood Estimation, Prob. Theory and Rel. Fields, 135(3):335–362. and J. Polzehl and V. Spokoiny (2004) Spatially adaptive regression estimation: Propagation-separation approach, WIAS-Preprint 998.","R (≥ 2.14.0), methods, awsMethods (≥ 1.0-1), gsl",,,,1.9-4,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
awsMethods,"Class and Methods definitions for packages aws, adimpro, fmri, dwi",The package defines method extract and provides openMP support needed in several packages,"R (≥ 2.14.0), methods",,,,1.0-3,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
AWS.tools,R package to use Amazon Web Services,R package for Amazon Web Services EC2/S3,XML,,,WebTechnologies,0.0.5,GPL-3,
aylmer,A generalization of Fisher's exact test,A generalization of Fisher's exact test that allows for structural zeros.,"R (≥ 2.10), methods, Brobdingnag",partitions,,,1.0-11,GPL-2,
B2Z,Bayesian Two-Zone Model,This package fits the Bayesian two-Zone Models.,"numDeriv, coda, mvtnorm",,,,1.4,GPL-2,
b6e6rl,"Adaptive differential evolution, b6e6rl variant","This package contains b6e6rl algorithm, adaptive differential evolution for global optimization.",,,,,1.1,GPL-2,
babel,Ribosome profiling data analysis,Implements babel routines for identifying unusual ribosome protected fragment counts given mRNA counts,"R (≥ 2.14.0), edgeR","R.rsp, R.devices, R.utils",parallel,,0.2-5,LGPL-2.1 | LGPL-3 [expanded from: LGPL (≥ 2.1)],
BaBooN,Bayesian Bootstrap Predictive Mean Matching - Multiple and single imputation for discrete data,"The package contains two variants of Bayesian Bootstrap Predictive Mean Matching to multiply impute missing data. The first variant is a variable-by-variable imputation combining sequential regression and Predictive Mean Matching (PMM) that has been extended for unordered categorical data. The Bayesian Bootstrap allows for generating approximately proper multiple imputations. The second variant is also based on PMM, but the focus is on imputing several variables at the same time. The suggestion is to use this variant, if the missing-data pattern resembles a data fusion situation, or any other missing-by-design pattern, where several variables have identical missing-data patterns. Both variants can be run as 'single imputation' versions, in case the analysis objective is of a purely descriptive nature.","R (≥ 2.12.0), MASS, nnet",,,Bayesian,0.1-6,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
BACCO,Bayesian Analysis of Computer Code Output (BACCO),"The BACCO bundle of packages is replaced by the BACCO package, which provides a vignette that illustrates the constituent packages (emulator, approximator, calibrator) in use.","emulator (≥ 1.2-13), calibrator (≥ 1.2-5), approximator (≥ 1.2-6)",,,Bayesian,2.0-9,GPL-2 | GPL-3 [expanded from: GPL],
backtest,Exploring portfolio-based conjectures about financial instruments,"The backtest package provides facilities for exploring portfolio-based conjectures about financial instruments (stocks, bonds, swaps, options, et cetera).","R (≥ 2.10), methods, grid, lattice",,,Finance,0.3-2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
BACprior,Sensitivity of the Bayesian Adjustment for Confounding (BAC) algorithm to the choice of hyperparameter omega,"The BACprior package provides an approximate sensitivity analysis of the Bayesian Adjustment for Confounding (BAC) algorithm (Wang et al., 2012) with regards to hyperparameter omega. The method is based on Lefebvre, Atherton and Talbot (2013).","mvtnorm, leaps",,,,1.2.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
BAEssd,Bayesian Average Error approach to Sample Size Determination,"Implements sample size calculations following the approach described in ""Bayesian Average Error Based Approach to Hypothesis Testing and Sample Size Determination.""",mvtnorm,,,,1.0.1,GPL-2,
bagRboostR,Ensemble bagging and boosting classifiers,bagRboostR is a set of ensemble classifiers for multinomial classification. The bagging function is the implementation of Breiman's ensemble as described by Opitz & Maclin (1999). The boosting function is the implementation of Stagewise Additive Modeling using a Multi-class Exponential loss function (SAMME) created by Zhu et al (2006). Both bagging and SAMME implementations use randomForest as the weak classifier and expect a character outcome variable.  Each ensemble classifier returns a character vector of predictions for the test set.,,testthat,randomForest,,0.0.2,MIT + file LICENSE,
BalancedSampling,Balanced and spatially balanced sampling,This package includes methods that can select balanced and spatially balanced probability samples in multi-dimensional spaces with any prescribed inclusion probabilities. It contains fast (C++ via Rcpp) implementations of the included sampling methods. The local pivotal method and spatially correlated Poisson sampling (for spatially balanced sampling) are included. Also the cube method (for balanced sampling) and the local cube method (for doubly balanced sampling) are included.,,,Rcpp (≥ 0.11.1),,1.4,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
BaM,Functions and datasets for books by Jeff Gill,"Books is ""Bayesian Methods: A Social and Behavioral Sciences Approach, Second Edition published by CRC Press, 2007""","R (≥ 1.4.1), bayesm, coda, MASS, stats, mice, survival, foreign, nnet",,,Bayesian,0.99,GPL-2 | GPL-3 [expanded from: GPL],
bamdit,Bayesian Meta-Analysis of diagnostic test data,Bayesian meta-analysis of diagnostic test data based on a scale mixtures bivariate random-effects model. Summary statistics are based on pooled and predictive sensitivities and specificities. Model checking is used for diagnostic of random-effects' misfit and predictive data is used to assess models departures from observed data.,"R (≥ 2.9.0), coda (≥ 0.13), rjags (≥ 2.2.0-4)",,,MetaAnalysis,1.1-1,GPL-3,
BAMMtools,Analysis and visualization of macroevolutionary dynamics on phylogenetic trees,"BAMMtools provides functions for analyzing and visualizing complex macroevolutionary dynamics on phylogenetic trees. It is a companion package to the command line program BAMM (Bayesian Analysis of Macroevolutionary Mixtures) and is entirely oriented towards the analysis, interpretation, and visualization of evolutionary rates. Functionality includes visualization of rate shifts on phylogenies, estimating evolutionary rates through time, comparing posterior distributions of evolutionary rates across clades, comparing diversification models using Bayes factors, and more.",ape,,,,1.0.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
bams,Breakpoint annotation model smoothing,Code and data to compare several change-point detection models on DNA copy number profiles.,R (≥ 2.10),"GLAD, DNAcopy, cghFLasso, flsa, cghseg, grid, gada, plyr, ggplot2 (≥ 0.9.0), RColorBrewer, reshape2, lattice, proto, changepoint",,,1.6,GPL-3,
bandit,Functions for simple A/B split test and multi-armed bandit analysis,A set of functions for doing analysis of A/B split test data and web metrics in general.,,,"boot, gam (≥ 1.09)",,0.5.0,GPL-3,
barcode,Barcode distribution plots,"This package includes the function \code{barcode()}, which produces a histogram-like plot of a distribution that shows granularity in the data.","grid, lattice",,,,1.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],gpairs
bark,Bayesian Additive Regresssion Kernels,"Impelementation of BARK: Bayesian Additive Regression Kernels with Feature Selection, Zhi Ouyang (2008), Ph.D. thesis, chapter 3.",,,,Bayesian,0.1-0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
Barnard,Barnard's Unconditional Test,Barnard's unconditional test for 2x2 contingency tables.,,,,,1.3,GPL-2,
bartMachine,Bayesian Additive Regression Trees,An advanced implementation of Bayesian Additive Regression Trees with expanded features for data analysis and visualization,"R (≥ 2.14.0), rJava (≥ 0.8-4), car, randomForest, missForest",,,,1.0.2,GPL-2 | GPL-3 | MIT + file LICENSE,
BAS,Bayesian Model Averaging using Bayesian Adaptive Sampling,Package for Bayesian Model Averaging in linear models using stochastic or deterministic sampling without replacement from posterior distributions.  Prior distributions on coefficients are from Zellner's g-prior or mixtures of g-priors corresponding to the Zellner-Siow Cauchy Priors or the Liang et al hyper-g priors (JASA 2008). Other model selection criterian include AIC and BIC. Sampling probabilities may be updated based on the sampled models.  Allows uniform or beta-binomial prior distributions on models.,"R (≥ 2.15), stats, MASS",,stats,Bayesian,1.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
BaSAR,Bayesian Spectrum Analysis in R,Bayesian Spectrum Analysis of time series data,"polynom, orthopolynom",fields,,,1.3,GPL-2,
base64,Base 64 encoder/decoder,Base 64 encoder/decoder,,,,,1.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
base64enc,Tools for base64 encoding,This package provides tools for handling base64 encoding. It is more flexible than the orphaned base64 package.,R (≥ 2.9.0),,,,0.1-1,GPL-2 | GPL-3,png
baseline,Baseline Correction of Spectra,"Collection of baseline correction algorithms, along with a framework and a GUI for optimising baseline algorithm parameters.","R (≥ 2.10), methods","gWidgets, IDPmisc, lattice, pls, MASS","graphics, SparseM",,1.1-3,GPL-2,
basicspace,A Package to Recover a Basic Space from Issue Scales,Conducts Aldrich-McKelvey and Blackbox Scaling to Recover Latent Dimensions of Judgment,"R (≥ 2.3.1), tools (≥ 2.0.0)",,,,0.07,GPL-2,
BASIX,BASIX: An efficient C/C++ toolset for R,BASIX provides some efficient C/C++ implementations to speed up calculations in R.,"R (≥ 2.14.2), methods",,,,1.1,GPL-2,
BaSTA,A package for estimating age-specific survival from incomplete capture-recapture/recovery data,"This package estimates survival and mortality with covariates from capture-recapture/recovery data in a Bayesian framework when many individuals are of unknown age. It includes tools for data checking, model diagnostics and outputs such as life-tables and plots.","R (≥ 2.10), msm",snowfall,,Survival,1.9.3,GPL-2 | GPL-3 [expanded from: GPL],
batade,HTML reports and so on,This package provides some utility functions (e.g HTML report maker).,hwriter,,,,0.1,GPL-2,
batch,Batching Routines in Parallel and Passing Command-Line Arguments to R,"Functions to allow you to easily pass command-line arguments into R, and functions to aid in submitting your R code in parallel on a cluster and joining the results afterward (e.g. multiple parameter values for simulations running in parallel, splitting up a permutation test in parallel, etc.). See ‘parseCommandArgs(...)’ for the main example of how to use this package.",R (≥ 2.14),parallel,,HighPerformanceComputing,1.1-4,GPL-2 | GPL-3 [expanded from: GPL],
BatchExperiments,Statistical experiments on batch computing clusters,Extends the BatchJobs package to run statistical experiments on batch computing clusters. For further details see the project web page.,"R (≥ 2.15.0), BatchJobs (≥ 1.2)","randomForest, rpart, testthat","BBmisc (≥ 1.5), DBI, RSQLite, plyr","ExperimentalDesign, HighPerformanceComputing",1.1,BSD_3_clause + file LICENSE,
BatchJobs,Batch computing with R,"Provides Map, Reduce and Filter variants to generate jobs on batch computing systems like PBS/Torque, LSF, SLURM and Sun Grid Engine. Multicore and SSH systems are also supported. For further details see the project web page.","R (≥ 2.15.0), BBmisc (≥ 1.5)","testthat, MASS","utils, digest, DBI, RSQLite, sendmailR, brew, plyr, stringr, fail (≥ 1.2)",HighPerformanceComputing,1.2,BSD_3_clause + file LICENSE,
batchmeans,Consistent Batch Means Estimation of Monte Carlo Standard Errors,batchmeans provides consistent batch means estimation of Monte Carlo standard errors.,"R (≥ 2.14), utils",,,,1.0-1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
BayesBridge,Bridge Regression,This package implements Bayesian bridge regression.,R (≥ 2.10),,,,0.4,GPL (≥ 3),
bayesclust,Tests/Searches for significant clusters in genetic data,Bayes Clustering Package,,,,Cluster,3.1,GPL-2,
BayesComm,Bayesian community ecology analysis,BayesComm fits Bayesian multivariate binary (probit) regression models for analysis of ecological communities.,"Rcpp (≥ 0.9.10), RcppArmadillo (≥ 0.3.2.4), coda",,,,0.1-0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
bayescount,Power calculations and Bayesian analysis of count distributions and FECRT data using MCMC,"A set of functions to allow analysis of count data (such as faecal egg count data) using Bayesian MCMC methods.  Returns information on the possible values for mean count, coefficient of variation and zero inflation (true prevalence) present in the data.  A complete faecal egg count reduction test (FECRT) model is implemented, which returns inference on the true efficacy of the drug from the pre and post treatment data provided, using non-parametric bootstrapping as well as using Bayesian MCMC.  Functions to perform power analyses for faecal egg counts (including FECRT) are also provided.  Requires Just Another Gibbs Sampler (JAGS) for most functions (except power analysis calculations), see: http://www-fis.iarc.fr/~martyn/software/jags/.","R (≥ 2.6), runjags (≥ 0.9.5), coda, lattice, stats, utils",,,,0.9.9-1,GPL-2 | GPL-3 [expanded from: GPL],
BayesCR,Bayesian analysis of censored linear regression models with scale mixtures of normal (SMN) distributions,Propose a robust parametric  model of censored linear regression models based on SMN distributions from a Bayesian perspective.,"R (≥ 3.0.1), MCMCpack, mvtnorm, Rlab, truncdist, truncnorm",,,,1.0,,
BayesDA,"Functions and Datasets for the book ""Bayesian Data Analysis""","Functions for Bayesian Data Analysis, with datasets from the book ""Bayesian data Analysis (second edition)"" by Gelman, Carlin, Stern and Rubin. Not all datasets yet, hopefully completed soon.","stats, R (≥ 2.2.0)",MCMCpack,,Bayesian,2012.04-1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
bayesDem,"Graphical User Interface for bayesTFR, bayesLife and bayesPop","Provides Graphical user interface for the packages bayesTFR, bayesLife and bayesPop","R (≥ 2.14.2), gWidgets, gWidgetsRGtk2, bayesTFR (≥ 4.0-0), bayesLife (≥ 2.0-0), bayesPop (≥ 5.0-0)","wpp2008, wpp2010","RGtk2, wpp2012",,2.4-1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
BayesFactor,Computation of Bayes factors for common designs,"The BayesFactor package is a suite of functions for computing various Bayes factors for simple designs, including the one- and two-sample designs, one-way designs, general ANOVA designs, and linear regression.","R (≥ 3.0.0), coda, methods","doMC, testthat, knitr, markdown, arm, lme4, xtable, languageR","pbapply, mvtnorm, stringr, utils, graphics",,0.9.7,GPL-2,
bayesGARCH,"Bayesian Estimation of the GARCH(1,1) Model with Student-t Innovations","This package provides the bayesGARCH function which performs the Bayesian estimation of the GARCH(1,1) model with Student's t innovations.","mvtnorm, coda",,,"Bayesian, Finance, TimeSeries",2.0.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
bayesGDS,Functions to implement Generalized Direct Sampling,"This package contains functions to help users implement the Generalized Direct Sampling algorithm for Bayesian hierarchical models (Braun and Damien, 2013). GDS is useful for sampling from posterior distributions for which there is a large number of conditionally independent heterogeneous units.","R (≥ 3.0.2), Matrix (≥ 1.1.0), compiler","sparseHessianFD (≥ 0.1.1), sparseMVN (≥ 0.1.0), mvtnorm, trustOptim (≥ 0.8.3), plyr (≥ 1.8)",,,0.6.0,MPL (== 2.0),
BayesGESM,Bayesian Analysis of Generalized Elliptical Semiparametric Models,"This package allows obtain the statistical inference based on Bayesian approach for regression models under the assumption that independent additive errors follow normal, Student-t, slash, contaminated normal, Laplace or symmetric hyperbolic distribution, where both location and dispersion parameters of the response variable distribution include nonparametric additive components described by B-splines.","splines, truncdist, GIGrvg, normalp, gsl",ssym,,,1.0,GPL-2 | GPL-3,
Bayesianbetareg,Bayesian Beta regression: joint mean and precision modeling,This package performs beta regression,"R (≥ 2.12.1), mvtnorm, betareg",,,,1.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
BayesLCA,Bayesian Latent Class Analysis,Bayesian Latent Class Analysis using several different methods.,"e1071, coda",,"fields, nlme, MCMCpack",Cluster,1.5,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
bayesLife,Bayesian Projection of Life Expectancy,"Making probabilistic projections of life expectancy for all countries of the world, using a Bayesian hierarchical model.",bayesTFR (≥ 4.0-0),"wpp2008, wpp2010","wpp2012, hett, car, coda",,2.1-0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
BayesLogit,Logistic Regression,"The BayesLogit package does posterior simulation for binomial and multinomial logistic regression using the Polya-Gamma latent variable technique. This method is fully automatic, exact, and fast.  A routine to efficiently sample from the Polya-Gamma class of distributions is included.",R (≥ 2.14.0),,,,0.4,GPL (≥ 3),
bayesm,Bayesian Inference for Marketing/Micro-econometrics,"bayesm covers many important models used in marketing and micro-econometrics applications.  The package includes: Bayes Regression (univariate or multivariate dep var), Bayes Seemingly Unrelated Regression (SUR), Binary and Ordinal Probit, Multinomial Logit (MNL) and Multinomial Probit (MNP), Multivariate Probit, Negative Binomial (Poisson) Regression, Multivariate Mixtures of Normals (including clustering), Dirichlet Process Prior Density Estimation with normal base, Hierarchical Linear Models with normal prior and covariates, Hierarchical Linear Models with a mixture of normals prior and covariates, Hierarchical Multinomial Logits with a mixture of normals prior and covariates, Hierarchical Multinomial Logits with a Dirichlet Process prior and covariates, Hierarchical Negative Binomial Regression Models, Bayesian analysis of choice-based conjoint data, Bayesian treatment of linear instrumental variables models, and Analysis of Multivariate Ordinal survey data with scale usage heterogeneity (as in Rossi et al, JASA (01)).  For further reference, consult our book, Bayesian Statistics and Marketing by Rossi, Allenby and McCulloch.",R (≥ 2.10),,,"Bayesian, Cluster, Distributions, Econometrics, HighPerformanceComputing, MedicalImaging, Multivariate",2.2-5,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
bayesMCClust,Mixtures-of-Experts Markov Chain Clustering and Dirichlet Multinomial Clustering,"This package provides various Markov Chain Monte Carlo (MCMC) sampler for model-based clustering of discrete-valued time series obtained by observing a categorical variable with several states (in a Bayesian approach).  In order to analyze group membership, we provide also an extension to the approaches by formulating a probabilistic model for the latent group indicators within the Bayesian classification rule using a multinomial logit model.","R (≥ 2.14.1), gplots, xtable, grDevices, mnormt, MASS, bayesm, boa, e1071, gtools",nnet,,Cluster,1.0,GPL-2,
BayesMed,"Default Bayesian hypothesis tests for correlation, partial correlation, and mediation","Default Bayesian hypothesis tests for correlation, partial correlation, and mediation","R (≥ 2.12.1), R2jags, QRM, polspline, MCMCpack",,,,1.0,GPL-2,
bayesmix,Bayesian Mixture Models with JAGS,Bayesian mixture models of univariate Gaussian distributions using JAGS,R (≥ 2.10),,"rjags (≥ 2.1.0), coda (≥ 0.13)","Bayesian, Cluster, gR",0.7-3,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
BayesNI,BayesNI: Bayesian Testing Procedure for Noninferiority with Binary Endpoints,A Bayesian testing procedure for noninferiority trials with binary endpoints. The prior is constructed based on Bernstein polynomials with options for both informative and non-informative prior. The critical value of the test statistic (Bayes factor) is determined by minimizing total weighted error (TWE) criteria,,,,,0.1,GPL-2,
BayesPen,Bayesian Penalized Credible Regions,Fits the Bayesian penalized credible region variable and confounder selection methods.,"lars, MCMCpack, SuppDists",,,,1.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
bayesPop,Probabilistic Population Projection,"The package allows to generate population projections for all countries of the world using several probabilistic components, such as total fertility rate (TFR) and life expectancy.","R (≥ 2.14.2), bayesTFR (≥ 4.0-0), bayesLife (≥ 2.0-0)","rworldmap, fields, wpp2008, wpp2010","parallel, abind, plyr, wpp2012",,5.0-0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
bayespref,Hierarchical Bayesian analysis of ecological count data,"This program implements a hierarchical Bayesian analysis of count data, such as preference experiments. It provides population-level and individual-level preference parameter estimates obtained via MCMC. It also allows for model comparison using Deviance Information Criterion.","coda, lattice, MASS, MCMCpack, RColorBrewer",,,,1.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
bayesQR,Bayesian quantile regression,"Bayesian quantile regression using the asymmetric Laplace distribution, both continuous as well as binary dependent variables are supported. The package consists of implementations of the methods of Yu & Moyeed (2001), Benoit & Van den Poel (2012) and Al-Hamzawi, Yu & Benoit (2012). To speed up the calculations, the Markov Chain Monte Carlo core of all algorithms is programmed in Fortran and called from R.",R (≥ 3.0),,,Bayesian,2.2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
BayesQTLBIC,Bayesian multi-locus QTL analysis based on the BIC criterion,"R package for a non-MCMC approximate multilocus Bayesian model selection approach to the analysis of quantitative trait loci (QTL).  The method and models are described in (Ball, R. D. Genetics 159: 1351–1364, 2001; http://www.genetics.org/cgi/content/abstract/159/3/1351).  Data is assumed to be from a QTL mapping family with DNA markers genotyped along the genome. The QTL mapping problem is represented as a model selection problem, where each model is a linear regression of the trait on a selected set of marker values. The main function bicreg.qtl() is based on the S function bicreg()— posterior probabilities for models are approximated from the BIC criterion, calculated for each model in a search of model space using leaps or regsubsets. Additionally, we allow for prior probabilities based on expected numbers of QTL per genome and options to control the size of models considered, and to allow for selectivly genotyping from the tails of the phenotypic distribution. Missing values are estimated by multiple imputation, and estimates of marker effects can be obtained conditional on selection or unconditional and free of selection bias.  The method relies on 3 approximations: (1.) QTL configuration is represented approximately by configurations with QTL located at marker positions; (2.) Posterior probabilities are given approximately in terms of the BIC criterion; and (3.) The distribution of missing marker values is approximated by multiple imputation, sampling from the distribution of missing values conditional on non-missing values. We have found these are good approximations provided (1.) the marker spacing is reasonable (less than 30cM); (2.) the sample size is 100 or more for fully genotyped populations; and (3.) around 10 imputations are used and the effect of any given QTL on the trait is not large. Due to limits on the number of markers that can be considered simultaneously the method is generally applied separately to each chromosome or could be iteratively applied to sets of chromosomes using fixed sets of predictors from other chromsomes when analysing a given chromosome.",leaps,,,,1.0-2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
bayess,Bayesian Essentials with R,"bayess contains a collection of functions that allows the reenactment of the R programs used in the book ""Bayesian Essentials with R"" (revision of ""Bayesian Core"") without further programming. R code being available as well, they can be modified by the user to conduct one's own simulations.","stats, MASS, mnormt, gplots, combinat",,,,1.4,GPL-2,
BayesSAE,Bayesian Analysis of Small Area Estimation,"This package provides a variety of functions to deal with several specific small area area- level models in Bayesian context. Models provided range from the basic Fay-Herriot model to its improvement such as You-Chapman models, unmatched models, spatial models and so on. Different types of priors for specific parameters could be chosen to obtain MCMC posterior draws. The main sampling function is written in C with GSL lab so as to facilitate the computation. Model internal checking and model comparison criteria are also involved.","Formula, coda, lattice",,,,1.0-1,GPL-2,
BayesSingleSub,Computation of Bayes factors for interrupted time-series designs,"The BayesSingleSub package is a suite of functions for computing various Bayes factors for interrupted time-series, based on the models described in de Vries and Morey (2013).",R (≥ 3.0.0),knitr,"coda, mvtnorm, MCMCpack",,0.6.2,GPL-2,
bayesSurv,Bayesian Survival Regression with Flexible Error and Random Effects Distributions,Later,"R (≥ 2.10.0), survival, coda, smoothSurv",,,"Bayesian, Survival",2.1-1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
bayesTFR,Bayesian Fertility Projection,"Making probabilistic projections of total fertility rate for all countries of the world, using a Bayesian hierarchical model.",R (≥ 2.14.2),"rworldmap, snowFT, googleVis, rgdal, rworldxtra, wpp2008, wpp2010","mvtnorm, MASS, coda, wpp2012",,4.0-5,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
Bayesthresh,Bayesian thresholds mixed-effects models for categorical data,"This package fits a linear mixed model for ordinal categorical responses using Bayesian inference via Monte Carlo Markov Chains. Default is Nandran & Chen algorithm using Gaussian link function and saving just the summaries of the chains.  Among the options, package allow for two other options of algorithms, for using Student's ""t"" link function and for saving the full chains.","R (≥ 2.15.2), lme4 (≥ 0.999375-35), MASS, VGAM, mvtnorm, matrixcalc, coda",,,Bayesian,2.0.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
BayesTree,Bayesian Methods for Tree Based Models,"Implementation of BART:Bayesian Additive Regression Trees, Chipman, George, McCulloch (2009)",nnet,,,"Bayesian, MachineLearning",0.3-1.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
BayesValidate,BayesValidate Package,"BayesValidate implements the software validation method described in the paper ""Validation of Software for Bayesian Models using Posterior Quantiles"" (Cook, Gelman, and Rubin, 2005).  It inputs a function to perform Bayesian inference as well as functions to generate data from the Bayesian model being fit, and repeatedly generates and analyzes data to check that the Bayesian inference program works properly.",R (≥ 2.0.1),,,Bayesian,0.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
BayesVarSel,Bayesian Variable selection in Linear Models,"Within the context of the linear regression model, this package provides tools for the analysis of the variable selection problem from a Bayesian perspective. The default implementation takes advantage of a closed-form expression for the posterior probabilities that the prior proposed in Bayarri, Berger, Forte and Garcia-Donato (2012) produces. Alternatively, other priors, like Zellner (1986) g-prior, Zellner-Siow (1980,1984) or Liang, Paulo, Molina, Clyde and Berger (2008) can be used. BayesVarSel allows the calculations to be performed either exactly (sequential or parallel computation) or heuristically, using a Gibbs sampling algorithm studied in Garcia-Donato and Martinez-Beneito (2013).","R (≥ 2.15.0), parallel, MASS",,,,1.5.1,GPL-2,
BayesX,R Utilities Accompanying the Software Package BayesX,"This package provides functionality for exploring and visualising estimation results obtained with the software package BayesX for structured additive regression. It also provides functions that allow to read, write and manipulate map objects that are required in spatial analyses performed with BayesX, a free software for estimating structured additive regression models (http://www.bayesx.org).",shapefiles,"spdep, akima, gpclib, rgeos","sp, maptools, colorspace (≥ 0.97), coda, splines",Bayesian,0.2-8,GPL-2,
BayesXsrc,R Package Distribution of the BayesX C++ Sources,BayesX performs Bayesian inference in structured additive regression (STAR) models. The R package BayesXsrc provides the BayesX command line tool for easy installation. A convenient R interface is provided in package R2BayesX.,R (≥ 2.7.0),R2BayesX,,,2.1-2,GPL-2 | GPL-3,
BayHap,Bayesian analysis of haplotype association using Markov Chain Monte Carlo,"The package BayHap performs simultaneous estimation of uncertain haplotype frequencies and association with haplotypes based on generalized linear models for quantitative, binary and survival traits. Bayesian statistics and Markov Chain Monte Carlo techniques are the theoretical framework for the methods of estimation included in this package. Prior values for model parameters can be included by the user. Convergence diagnostics and statistical and graphical analysis of the sampling output can be also carried out.",boa,,,,1.0.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
BayHaz,R Functions for Bayesian Hazard Rate Estimation,A suite of R functions for Bayesian estimation of smooth hazard rates via Compound Poisson Process (CPP) and Bayesian Penalized Spline (BPS) priors.,"R (≥ 1.8.0), splines",coda,,"Bayesian, Survival",0.1-3,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
BaylorEdPsych,R Package for Baylor University Educational Psychology Quantitative Courses,Functions and data used for Baylor University Educational Psychology Quantitative Courses,,"mvnmle, moments",,,0.5,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
BaySIC,Bayesian Analysis of Significantly Mutated Genes in Cancer,"This R package is the software implementation of the algorithm BaySIC, a Bayesian approach toward analysis of significantly mutated genes in cancer data.","R (≥ 2.10), rjags, fields, poibin",,,,1.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
BAYSTAR,On Bayesian analysis of Threshold autoregressive model (BAYSTAR),"The manuscript introduces the BAYSTAR package, which provides the functionality for Bayesian estimation in autoregressive threshold models.","R (≥ 3.0.1), mvtnorm, coda",,,"Bayesian, TimeSeries",0.2-9,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
BB,Solving and Optimizing Large-Scale Nonlinear Systems,"Barzilai-Borwein spectral methods for solving nonlinear system of equations, and for optimizing nonlinear objective functions subject to simple constraints. A tutorial style introduction to this package is available in a vignette on the CRAN download page or, when the package is loaded in an R session, with vignette(""BB"").",R (≥ 2.6.1),"setRNG, survival, Hmisc, numDeriv",,"NumericalMathematics, Optimization",2014.1-1,GPL-3,
bbefkr,Bayesian bandwidth estimation and semi-metric selection for the functional kernel regression with unknown error density,"Estimating optimal bandwidths for the regression mean function approximated by the functional Nadaraya-Watson estimator and the error density approximated by a kernel density of residuals simultaneously in a scalar-on-function regression. As a by-product of Markov chain Monte Carlo, the optimal choice of semi-metric is selected based on largest marginal likelihood.","R (≥ 3.0.3), splines",,,,4.2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
bbemkr,Bayesian bandwidth estimation for multivariate kernel regression with Gaussian error,Bayesian bandwidth estimation for Nadaraya-Watson type multivariate kernel regression with Gaussian error density,"R (≥ 3.0.1), MASS",,,Bayesian,2.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
BBmisc,Miscellaneous helper functions for B. Bischl,"Miscellaneous helper functions for and from B. Bischl and some other guys at TU Dortmund, mainly for package development.",,"testthat, microbenchmark",stats,,1.6,BSD_3_clause + file LICENSE,
bbmle,Tools for general maximum likelihood estimation,Methods and functions for fitting maximum likelihood models in R. This package modifies and extends the mle classes in the stats4 package.,"R (≥ 3.0.0), stats4, methods","emdbook, rms, ggplot2, RUnit, MuMIn, AICcmodavg, Hmisc, optimx (≥ 2013.8.6), knitr","stats, numDeriv, lattice, MASS",,1.0.16,GPL-2 | GPL-3 [expanded from: GPL],
